epoch,loss,val_loss
0,12.692263031,8.93587117195
0,13.264425342,8.32396702766
1,9.00065338508,8.20850279331
2,8.27355216482,7.92755726576
3,8.4687098669,7.64210737944
4,8.68980884759,9.09300006628
5,9.42229085176,7.6557215929
6,7.90117934061,7.64194934368
7,7.61828288203,7.54158514738
8,7.40396038968,7.41576702595
9,8.15931234982,7.47994767427
10,7.56644557455,7.44724647999
11,7.48895231952,7.4210157156
12,7.28729754531,7.34840061665
13,7.19284302048,7.23855476379
14,7.16729561142,7.25842961073
15,7.14235343518,7.18680795431
16,7.14135961533,7.13798089027
17,7.24186864314,7.28836040497
18,7.16597290246,7.33575186729
19,7.06796777974,7.31956754923
20,7.11751478444,7.46294637918
21,7.29618616933,7.21673437357
22,7.0511566556,7.28640153408
23,6.94322925651,6.81509318352
24,6.69958755037,6.63605874777
25,6.69372239942,6.93127859831
26,6.57527461674,6.61334582567
27,6.50430413536,6.43312246799
28,6.35945159663,6.34047020674
29,6.32111444473,6.67975863218
30,6.30831957485,6.30713814497
31,6.22776114837,6.15023739338
32,6.21898186932,6.1843006134
33,6.13158007912,6.21042643785
34,6.051606595,6.06549735069
35,6.16128651577,6.13948031664
36,6.12953214438,6.12197858095
37,6.08529615817,6.05135951042
38,6.05042578034,5.99293214083
39,6.03497560335,6.04947593212
40,5.95806160802,5.92070944309
41,6.0063830583,5.82273393869
42,5.95751870819,5.79827511311
43,5.88352808952,5.78371765614
44,5.8674807901,5.98669157028
45,5.89506103474,5.88349404335
46,5.92508037401,5.81283068657
47,5.79512525849,5.67574933767
48,5.80385797127,5.86345570087
49,5.7815830013,5.63363026381
50,5.82730700451,5.64719610214
51,5.73165715881,5.54909856319
52,5.76405890921,5.62039607763
53,5.6553652328,5.5724817276
54,5.68493964776,5.52765171528
55,5.73865763623,5.53875106573
56,5.64038865877,5.62254521847
57,5.66287821894,5.61006842852
58,5.62284931722,5.58204885721
59,5.63090962298,5.47022976875
60,5.60394035837,5.49140393734
61,5.70473835987,5.43501068354
62,5.53211761869,5.40138751268
63,5.59877943993,5.31710971594
64,5.60368227337,5.66490850449
65,5.6229142189,5.34453291893
66,5.61843043929,5.27369078398
67,5.52501266003,5.35782722235
68,5.59211293925,5.22208633423
69,5.55220674432,5.30289862156
70,5.70541922735,5.38355082273
71,5.61441192212,5.41316384077
72,5.64556706885,5.25343718529
73,5.60859241071,5.19782017469
74,5.55117959562,5.22096499205
75,5.52045565895,5.27193011642
76,5.54838212055,5.23822746277
77,5.50131401186,5.25752910972
